persons_count,landing_year,person_age_level1_eng_desc
51175,2000,0 to 14 years old
68285,2000,15 to 29 years old
79415,2000,30 to 44 years old
19350,2000,45 to 59 years old
7835,2000,60 to 74 years old
1380,2000,75 years old or more
10,2000,Not stated
57295,2001,0 to 14 years old
72645,2001,15 to 29 years old
87815,2001,30 to 44 years old
22355,2001,45 to 59 years old
9050,2001,60 to 74 years old
1460,2001,75 years old or more
15,2001,Not stated
50945,2002,0 to 14 years old
65795,2002,15 to 29 years old
79255,2002,30 to 44 years old
21850,2002,45 to 59 years old
9685,2002,60 to 74 years old
1500,2002,75 years old or more
15,2002,Not stated
46620,2003,0 to 14 years old
67225,2003,15 to 29 years old
76350,2003,30 to 44 years old
20195,2003,45 to 59 years old
9505,2003,60 to 74 years old
1425,2003,75 years old or more
30,2003,Not stated
50900,2004,0 to 14 years old
71015,2004,15 to 29 years old
84580,2004,30 to 44 years old
20440,2004,45 to 59 years old
7655,2004,60 to 74 years old
1185,2004,75 years old or more
45,2004,Not stated
57580,2005,0 to 14 years old
76590,2005,15 to 29 years old
95205,2005,30 to 44 years old
25860,2005,45 to 59 years old
6135,2005,60 to 74 years old
845,2005,75 years old or more
25,2005,Not stated
51305,2006,0 to 14 years old
75805,2006,15 to 29 years old
85295,2006,30 to 44 years old
27595,2006,45 to 59 years old
10135,2006,60 to 74 years old
1470,2006,75 years old or more
35,2006,Not stated
48250,2007,0 to 14 years old
72520,2007,15 to 29 years old
80040,2007,30 to 44 years old
25385,2007,45 to 59 years old
9095,2007,60 to 74 years old
1425,2007,75 years old or more
30,2007,Not stated
50270,2008,0 to 14 years old
73375,2008,15 to 29 years old
84860,2008,30 to 44 years old
27375,2008,45 to 59 years old
9645,2008,60 to 74 years old
1685,2008,75 years old or more
35,2008,Not stated
50270,2009,0 to 14 years old
75220,2009,15 to 29 years old
86155,2009,30 to 44 years old
28240,2009,45 to 59 years old
10550,2009,60 to 74 years old
1690,2009,75 years old or more
50,2009,Not stated
60620,2010,0 to 14 years old
77615,2010,15 to 29 years old
100570,2010,30 to 44 years old
30155,2010,45 to 59 years old
10050,2010,60 to 74 years old
1620,2010,75 years old or more
60,2010,Not stated
52820,2011,0 to 14 years old
70220,2011,15 to 29 years old
88395,2011,30 to 44 years old
25760,2011,45 to 59 years old
9810,2011,60 to 74 years old
1655,2011,75 years old or more
35,2011,Not stated
52070,2012,0 to 14 years old
72575,2012,15 to 29 years old
89555,2012,30 to 44 years old
26640,2012,45 to 59 years old
14430,2012,60 to 74 years old
2450,2012,75 years old or more
40,2012,Not stated
48345,2013,0 to 14 years old
69130,2013,15 to 29 years old
88460,2013,30 to 44 years old
27865,2013,45 to 59 years old
21220,2013,60 to 74 years old
3975,2013,75 years old or more
35,2013,Not stated
48465,2014,0 to 14 years old
74005,2014,15 to 29 years old
97795,2014,30 to 44 years old
25840,2014,45 to 59 years old
11935,2014,60 to 74 years old
2240,2014,75 years old or more
20,2014,Not stated
54385,2015,0 to 14 years old
77300,2015,15 to 29 years old
101835,2015,30 to 44 years old
25875,2015,45 to 59 years old
10405,2015,60 to 74 years old
2005,2015,75 years old or more
5,2015,Not stated
66295,2016,0 to 14 years old
82670,2016,15 to 29 years old
105675,2016,30 to 44 years old
25605,2016,45 to 59 years old
13380,2016,60 to 74 years old
2705,2016,75 years old or more
--,2016,Not stated
