persons_count,landing_year,census_metropolitan_area_eng_desc
1040,2000,Abbotsford - Mission
10,2000,Alma
5,2000,Amos
20,2000,Baie-Comeau
185,2000,Barrie
10,2000,Bathurst
175,2000,Belleville
50,2000,Brandon
150,2000,Brantford
20,2000,Brockville
60,2000,Brooks
8500,2000,Calgary
25,2000,Campbell River
10,2000,Camrose
70,2000,Canmore
25,2000,Cape Breton
30,2000,Centre Wellington
135,2000,Charlottetown
95,2000,Chatham-Kent
85,2000,Chilliwack
20,2000,Cobourg
5,2000,Cold Lake
20,2000,Collingwood
15,2000,Corner Brook
55,2000,Cornwall
40,2000,Courtenay
10,2000,Cowansville
20,2000,Cranbrook
15,2000,Dawson Creek
--,2000,Dolbeau-Mistassini
40,2000,Drummondville
50,2000,Duncan
4305,2000,Edmonton
20,2000,Edmundston
--,2000,Elliot Lake
10,2000,Estevan
25,2000,Fort St. John
250,2000,Fredericton
135,2000,Granby
10,2000,Grand Falls-Windsor
75,2000,Grande Prairie
85,2000,Greater Sudbury
635,2000,Guelph
1335,2000,Halifax
3205,2000,Hamilton
10,2000,Hawkesbury (Ontario part)
30,2000,High River
15,2000,Ingersoll
80,2000,Joliette
130,2000,Kamloops
25,2000,Kawartha Lakes
285,2000,Kelowna
20,2000,Kenora
20,2000,Kentville
395,2000,Kingston
2345,2000,Kitchener - Cambridge - Waterloo
--,2000,Lachute
40,2000,Lacombe
95,2000,Leamington
205,2000,Lethbridge
20,2000,Lloydminster (Alberta part)
2025,2000,London
--,2000,Matane
130,2000,Medicine Hat
30,2000,Midland
10,2000,Miramichi
195,2000,Moncton
27885,2000,Montréal
85,2000,Moose Jaw
105,2000,Nanaimo
10,2000,New Glasgow
60,2000,Norfolk
10,2000,North Battleford
40,2000,North Bay
10,2000,Not stated
15,2000,Okotoks
45,2000,Orillia
420,2000,Oshawa
540,2000,Other - Alberta
665,2000,Other - British Columbia
595,2000,Other - Manitoba
85,2000,Other - New Brunswick
85,2000,Other - Newfoundland and Labrador
160,2000,Other - Nova Scotia
805,2000,Other - Ontario
30,2000,Other - Prince Edward Island
375,2000,Other - Quebec
185,2000,Other - Saskatchewan
7850,2000,Ottawa - Gatineau (Ontario part)
690,2000,Ottawa - Gatineau (Quebec part)
565,2000,Outside of defined CMA
25,2000,Owen Sound
30,2000,Parksville
10,2000,Pembroke
90,2000,Penticton
--,2000,Petawawa
115,2000,Peterborough
30,2000,Port Alberni
15,2000,Port Hope
10,2000,Portage la Prairie
20,2000,Powell River
70,2000,Prince Albert
165,2000,Prince George
40,2000,Prince Rupert
1455,2000,Québec
25,2000,Quesnel
210,2000,Red Deer
670,2000,Regina
25,2000,Rimouski
--,2000,Rivière-du-Loup
10,2000,Rouyn-Noranda
125,2000,Saguenay
170,2000,Saint John
--,2000,Saint-Georges
85,2000,Saint-Hyacinthe
20,2000,Saint-Jean-sur-Richelieu
30,2000,Salaberry-de-Valleyfield
20,2000,Salmon Arm
135,2000,Sarnia
790,2000,Saskatoon
40,2000,Sault Ste. Marie
--,2000,Sept-Îles
25,2000,Shawinigan
570,2000,Sherbrooke
10,2000,Sorel-Tracy
85,2000,Squamish
890,2000,St. Catharines - Niagara
295,2000,St. John's
195,2000,Steinbach
60,2000,Stratford
10,2000,Strathmore
25,2000,Summerside
25,2000,Swift Current
10,2000,Sylvan Lake
--,2000,Temiskaming Shores
20,2000,Terrace
35,2000,"Territories, outside Census agglomeration (CA)"
5,2000,Thetford Mines
35,2000,Thompson
140,2000,Thunder Bay
35,2000,Tillsonburg
15,2000,Timmins
109995,2000,Toronto
640,2000,Trois-Rivières
25,2000,Truro
5,2000,Val-d'Or
33305,2000,Vancouver
95,2000,Vernon
915,2000,Victoria
70,2000,Victoriaville
25,2000,Wetaskiwin
50,2000,Whitehorse
35,2000,Williams Lake
2935,2000,Windsor
3710,2000,Winnipeg
60,2000,Wood Buffalo
50,2000,Woodstock
60,2000,Yellowknife
20,2000,Yorkton
965,2001,Abbotsford - Mission
--,2001,Alma
--,2001,Amos
20,2001,Baie-Comeau
145,2001,Barrie
10,2001,Bathurst
--,2001,Bay Roberts
195,2001,Belleville
70,2001,Brandon
140,2001,Brantford
35,2001,Brockville
65,2001,Brooks
10190,2001,Calgary
40,2001,Campbell River
--,2001,Campbellton (New Brunswick part)
10,2001,Camrose
35,2001,Canmore
30,2001,Cape Breton
15,2001,Centre Wellington
105,2001,Charlottetown
110,2001,Chatham-Kent
120,2001,Chilliwack
20,2001,Cobourg
--,2001,Cold Lake
15,2001,Collingwood
10,2001,Corner Brook
65,2001,Cornwall
40,2001,Courtenay
--,2001,Cowansville
30,2001,Cranbrook
10,2001,Dawson Creek
--,2001,Dolbeau-Mistassini
95,2001,Drummondville
50,2001,Duncan
4580,2001,Edmonton
20,2001,Edmundston
--,2001,Elliot Lake
5,2001,Estevan
30,2001,Fort St. John
265,2001,Fredericton
140,2001,Granby
--,2001,Grand Falls-Windsor
70,2001,Grande Prairie
100,2001,Greater Sudbury
590,2001,Guelph
1395,2001,Halifax
2825,2001,Hamilton
10,2001,Hawkesbury (Ontario part)
--,2001,Hawkesbury (Quebec part)
15,2001,High River
5,2001,Ingersoll
70,2001,Joliette
150,2001,Kamloops
25,2001,Kawartha Lakes
290,2001,Kelowna
5,2001,Kenora
25,2001,Kentville
360,2001,Kingston
2035,2001,Kitchener - Cambridge - Waterloo
5,2001,Lachute
25,2001,Lacombe
105,2001,Leamington
190,2001,Lethbridge
25,2001,Lloydminster (Alberta part)
2010,2001,London
--,2001,Matane
165,2001,Medicine Hat
25,2001,Midland
10,2001,Miramichi
220,2001,Moncton
32085,2001,Montréal
110,2001,Moose Jaw
130,2001,Nanaimo
10,2001,New Glasgow
85,2001,Norfolk
5,2001,North Battleford
25,2001,North Bay
25,2001,Not stated
20,2001,Okotoks
35,2001,Orillia
530,2001,Oshawa
595,2001,Other - Alberta
705,2001,Other - British Columbia
545,2001,Other - Manitoba
75,2001,Other - New Brunswick
70,2001,Other - Newfoundland and Labrador
155,2001,Other - Nova Scotia
770,2001,Other - Ontario
20,2001,Other - Prince Edward Island
405,2001,Other - Quebec
165,2001,Other - Saskatchewan
8505,2001,Ottawa - Gatineau (Ontario part)
625,2001,Ottawa - Gatineau (Quebec part)
695,2001,Outside of defined CMA
10,2001,Owen Sound
20,2001,Parksville
15,2001,Pembroke
70,2001,Penticton
5,2001,Petawawa
135,2001,Peterborough
15,2001,Port Alberni
15,2001,Port Hope
5,2001,Portage la Prairie
15,2001,Powell River
85,2001,Prince Albert
105,2001,Prince George
30,2001,Prince Rupert
1895,2001,Québec
30,2001,Quesnel
230,2001,Red Deer
540,2001,Regina
35,2001,Rimouski
--,2001,Rivière-du-Loup
15,2001,Rouyn-Noranda
140,2001,Saguenay
155,2001,Saint John
--,2001,Saint-Georges
85,2001,Saint-Hyacinthe
30,2001,Saint-Jean-sur-Richelieu
30,2001,Salaberry-de-Valleyfield
15,2001,Salmon Arm
130,2001,Sarnia
770,2001,Saskatoon
35,2001,Sault Ste. Marie
10,2001,Sept-Îles
20,2001,Shawinigan
800,2001,Sherbrooke
30,2001,Sorel-Tracy
65,2001,Squamish
900,2001,St. Catharines - Niagara
300,2001,St. John's
150,2001,Steinbach
45,2001,Stratford
15,2001,Strathmore
5,2001,Summerside
10,2001,Swift Current
15,2001,Sylvan Lake
5,2001,Temiskaming Shores
35,2001,Terrace
50,2001,"Territories, outside Census agglomeration (CA)"
10,2001,Thetford Mines
35,2001,Thompson
130,2001,Thunder Bay
25,2001,Tillsonburg
30,2001,Timmins
125070,2001,Toronto
780,2001,Trois-Rivières
25,2001,Truro
5,2001,Val-d'Or
34340,2001,Vancouver
100,2001,Vernon
970,2001,Victoria
100,2001,Victoriaville
25,2001,Wetaskiwin
45,2001,Whitehorse
30,2001,Williams Lake
2995,2001,Windsor
3750,2001,Winnipeg
85,2001,Wood Buffalo
50,2001,Woodstock
70,2001,Yellowknife
5,2001,Yorkton
1080,2002,Abbotsford - Mission
--,2002,Amos
20,2002,Baie-Comeau
235,2002,Barrie
15,2002,Bathurst
--,2002,Bay Roberts
185,2002,Belleville
55,2002,Brandon
210,2002,Brantford
25,2002,Brockville
55,2002,Brooks
9080,2002,Calgary
30,2002,Campbell River
5,2002,Campbellton (New Brunswick part)
15,2002,Camrose
30,2002,Canmore
25,2002,Cape Breton
20,2002,Centre Wellington
70,2002,Charlottetown
75,2002,Chatham-Kent
130,2002,Chilliwack
10,2002,Cobourg
10,2002,Cold Lake
15,2002,Collingwood
10,2002,Corner Brook
95,2002,Cornwall
55,2002,Courtenay
5,2002,Cowansville
15,2002,Cranbrook
5,2002,Dawson Creek
100,2002,Drummondville
35,2002,Duncan
4225,2002,Edmonton
5,2002,Edmundston
--,2002,Elliot Lake
10,2002,Estevan
40,2002,Fort St. John
205,2002,Fredericton
95,2002,Granby
