persons_count,landing_year,gender_eng_desc
115095,2000,Female
112345,2000,Male
10,2000,Not stated
127015,2001,Female
123610,2001,Male
15,2001,Not stated
116300,2002,Female
112745,2002,Male
--,2002,Not stated
114870,2003,Female
106475,2003,Male
--,2003,Not stated
121660,2004,Female
114160,2004,Male
5,2004,Not stated
134490,2005,Female
127750,2005,Male
129515,2006,Female
122125,2006,Male
--,2006,Not stated
122780,2007,Female
113970,2007,Male
--,2007,Not stated
128640,2008,Female
118600,2008,Male
--,2008,Not stated
130205,2009,Female
121965,2009,Male
--,2009,Not stated
143685,2010,Female
137000,2010,Male
--,2010,Not stated
126940,2011,Female
121755,2011,Male
--,2011,Not stated
131355,2012,Female
126400,2012,Male
--,2012,Not stated
134110,2013,Female
124915,2013,Male
5,2013,Not stated
136240,2014,Female
124050,2014,Male
--,2014,Not stated
139295,2015,Female
132405,2015,Male
120,2015,Not stated
152025,2016,Female
144295,2016,Male
15,2016,Not stated
