persons_count,landing_year,main_category_eng_desc,group_eng_desc,component_eng_description
295,2000,All Other Immigration,Other Immigrants not included elsewhere,Deferred Removal Order Class
10,2000,All Other Immigration,Other Immigrants not included elsewhere,Designated Class Backlog Clearance
6185,2000,Economic,Business,Entrepreneur
4950,2000,Economic,Business,Investor
2530,2000,Economic,Business,Self-Employed
1250,2000,Economic,Provincial Nominee Program,Provincial Nominee Program
2780,2000,Economic,Worker Program,Caregiver
118585,2000,Economic,Worker Program,Skilled Worker
3495,2000,Resettled Refugee & Protected Person in Canada,Protected Person in Canada,Dependant of protected person
165,2000,Resettled Refugee & Protected Person in Canada,Protected Person in Canada,Post-determination Refugee Claimant
12995,2000,Resettled Refugee & Protected Person in Canada,Protected Person in Canada,Protected Person
10670,2000,Resettled Refugee & Protected Person in Canada,Resettled Refugee,Government-Assisted Refugee
2920,2000,Resettled Refugee & Protected Person in Canada,Resettled Refugee,Privately Sponsored Refugee
5820,2000,Sponsored Family,Sponsored Family,Sponsored Children
210,2000,Sponsored Family,Sponsored Family,Sponsored Extended Family Member
17770,2000,Sponsored Family,Sponsored Family,Sponsored Parent or Grandparent
36815,2000,Sponsored Family,Sponsored Family,Sponsored Spouse or Partner
125,2001,All Other Immigration,Other Immigrants not included elsewhere,Deferred Removal Order Class
5,2001,All Other Immigration,Other Immigrants not included elsewhere,Designated Class Backlog Clearance
6085,2001,Economic,Business,Entrepreneur
6340,2001,Economic,Business,Investor
2155,2001,Economic,Business,Self-Employed
1275,2001,Economic,Provincial Nominee Program,Provincial Nominee Program
2625,2001,Economic,Worker Program,Caregiver
137225,2001,Economic,Worker Program,Skilled Worker
3750,2001,Resettled Refugee & Protected Person in Canada,Protected Person in Canada,Dependant of protected person
80,2001,Resettled Refugee & Protected Person in Canada,Protected Person in Canada,Post-determination Refugee Claimant
11900,2001,Resettled Refugee & Protected Person in Canada,Protected Person in Canada,Protected Person
8695,2001,Resettled Refugee & Protected Person in Canada,Resettled Refugee,Government-Assisted Refugee
3570,2001,Resettled Refugee & Protected Person in Canada,Resettled Refugee,Privately Sponsored Refugee
5810,2001,Sponsored Family,Sponsored Family,Sponsored Children
245,2001,Sponsored Family,Sponsored Family,Sponsored Extended Family Member
21340,2001,Sponsored Family,Sponsored Family,Sponsored Parent or Grandparent
39410,2001,Sponsored Family,Sponsored Family,Sponsored Spouse or Partner
30,2002,All Other Immigration,Humanitarian & Compassionate,Humanitarian & Compassionate
50,2002,All Other Immigration,Other Immigrants not included elsewhere,Deferred Removal Order Class
10,2002,All Other Immigration,Other Immigrants not included elsewhere,Designated Class Backlog Clearance
10,2002,All Other Immigration,Other Immigrants not included elsewhere,Permit Holder Class
--,2002,All Other Immigration,Other Immigrants not included elsewhere,Retired
4480,2002,Economic,Business,Entrepreneur
4640,2002,Economic,Business,Investor
1905,2002,Economic,Business,Self-Employed
2125,2002,Economic,Provincial Nominee Program,Provincial Nominee Program
1985,2002,Economic,Worker Program,Caregiver
123315,2002,Economic,Worker Program,Skilled Worker
4020,2002,Resettled Refugee & Protected Person in Canada,Protected Person in Canada,Dependant of protected person
75,2002,Resettled Refugee & Protected Person in Canada,Protected Person in Canada,Post-determination Refugee Claimant
10545,2002,Resettled Refugee & Protected Person in Canada,Protected Person in Canada,Protected Person
7505,2002,Resettled Refugee & Protected Person in Canada,Resettled Refugee,Government-Assisted Refugee
3025,2002,Resettled Refugee & Protected Person in Canada,Resettled Refugee,Privately Sponsored Refugee
5570,2002,Sponsored Family,Sponsored Family,Sponsored Children
280,2002,Sponsored Family,Sponsored Family,Sponsored Extended Family Member
--,2002,Sponsored Family,Sponsored Family,Sponsored Family Member - H&C Consideration
22545,2002,Sponsored Family,Sponsored Family,Sponsored Parent or Grandparent
36930,2002,Sponsored Family,Sponsored Family,Sponsored Spouse or Partner
1350,2003,All Other Immigration,Humanitarian & Compassionate,Humanitarian & Compassionate
35,2003,All Other Immigration,Other Immigrants not included elsewhere,Deferred Removal Order Class
--,2003,All Other Immigration,Other Immigrants not included elsewhere,Designated Class Backlog Clearance
95,2003,All Other Immigration,Other Immigrants not included elsewhere,Permit Holder Class
2980,2003,Economic,Business,Entrepreneur
3695,2003,Economic,Business,Investor
1430,2003,Economic,Business,Self-Employed
4420,2003,Economic,Provincial Nominee Program,Provincial Nominee Program
3305,2003,Economic,Worker Program,Caregiver
106885,2003,Economic,Worker Program,Skilled Worker
3960,2003,Resettled Refugee & Protected Person in Canada,Protected Person in Canada,Dependant of protected person
