persons_count,landing_year,marital_status_eng_desc
10,2000,Common Law
2730,2000,Divorced
120275,2000,Married
180,2000,Not stated
840,2000,Separated
99155,2000,Single
4260,2000,Widowed
70,2001,Common Law
3060,2001,Divorced
131360,2001,Married
100,2001,Not stated
910,2001,Separated
110455,2001,Single
4680,2001,Widowed
255,2002,Common Law
2765,2002,Divorced
119975,2002,Married
45,2002,Not stated
760,2002,Separated
100785,2002,Single
4455,2002,Widowed
1855,2003,Common Law
2750,2003,Divorced
118405,2003,Married
25,2003,Not stated
820,2003,Separated
93150,2003,Single
4345,2003,Widowed
3705,2004,Common Law
2750,2004,Divorced
122915,2004,Married
30,2004,Not stated
990,2004,Separated
102065,2004,Single
3370,2004,Widowed
4795,2005,Common Law
2835,2005,Divorced
135560,2005,Married
10,2005,Not stated
1145,2005,Separated
114890,2005,Single
3010,2005,Widowed
5530,2006,Common Law
2650,2006,Divorced
130320,2006,Married
85,2006,Not stated
1145,2006,Separated
107865,2006,Single
4045,2006,Widowed
6195,2007,Common Law
2510,2007,Divorced
122555,2007,Married
15,2007,Not stated
980,2007,Separated
100870,2007,Single
3625,2007,Widowed
--,2008,Annulled Marriage
6745,2008,Common Law
2455,2008,Divorced
128370,2008,Married
10,2008,Not stated
820,2008,Separated
105105,2008,Single
3725,2008,Widowed
35,2009,Annulled Marriage
7105,2009,Common Law
2680,2009,Divorced
129675,2009,Married
10,2009,Not stated
895,2009,Separated
107865,2009,Single
3900,2009,Widowed
45,2010,Annulled Marriage
7345,2010,Common Law
2865,2010,Divorced
142930,2010,Married
10,2010,Not stated
1070,2010,Separated
122705,2010,Single
3720,2010,Widowed
55,2011,Annulled Marriage
6520,2011,Common Law
2580,2011,Divorced
125810,2011,Married
50,2011,Not stated
1015,2011,Separated
109340,2011,Single
3330,2011,Widowed
45,2012,Annulled Marriage
7195,2012,Common Law
3120,2012,Divorced
129570,2012,Married
290,2012,Not stated
1090,2012,Separated
112155,2012,Single
4300,2012,Widowed
60,2013,Annulled Marriage
6525,2013,Common Law
3725,2013,Divorced
128385,2013,Married
330,2013,Not stated
1105,2013,Separated
113070,2013,Single
5835,2013,Widowed
65,2014,Annulled Marriage
5970,2014,Common Law
3500,2014,Divorced
119325,2014,Married
350,2014,Not stated
1200,2014,Separated
126275,2014,Single
3605,2014,Widowed
75,2015,Annulled Marriage
6360,2015,Common Law
3265,2015,Divorced
124215,2015,Married
530,2015,Not stated
1190,2015,Separated
132735,2015,Single
3450,2015,Widowed
65,2016,Annulled Marriage
10425,2016,Common Law
3600,2016,Divorced
149850,2016,Married
805,2016,Not stated
915,2016,Separated
126310,2016,Single
4370,2016,Widowed
