persons_count,landing_year,noc_2011_level4_eng_desc
--,2000,0011 - Legislators
5,2000,0012 - Senior government managers and officials
25,2000,"0013 - Senior managers - financial, communications and other business services"
15,2000,"0014 - Senior managers - health, education, social and community services and membership organizations"
30,2000,"0015 - Senior managers - trade, broadcasting and other services, n.e.c."
50,2000,"0016 - Senior managers - construction, transportation, production and utilities"
695,2000,0111 - Financial managers
25,2000,0112 - Human resources managers
15,2000,0113 - Purchasing managers
85,2000,0114 - Other administrative services managers
15,2000,"0121 - Insurance, real estate and financial brokerage managers"
255,2000,"0122 - Banking, credit and other investment managers"
420,2000,"0124 - Advertising, marketing and public relations managers"
5,2000,0131 - Telecommunication carriers managers
30,2000,0211 - Engineering managers
5,2000,0212 - Architecture and science managers
30,2000,0213 - Computer and information systems managers
10,2000,0311 - Managers in health care
--,2000,0411 - Government managers - health and social policy development and program administration
5,2000,"0412 - Government managers - economic analysis, policy development and program administration"
--,2000,0413 - Government managers - education policy development and program administration
5,2000,0414 - Other managers in public administration
--,2000,0421 - Administrators - post-secondary education and vocational training
10,2000,0422 - School principals and administrators of elementary and secondary education
10,2000,"0423 - Managers in social, community and correctional services"
--,2000,0431 - Commissioned police officers
--,2000,0432 - Fire chiefs and senior firefighting officers
--,2000,0433 - Commissioned officers of the Canadian Forces
5,2000,"0511 - Library, archive, museum and art gallery managers"
5,2000,"0512 - Managers - publishing, motion pictures, broadcasting and performing arts"
10,2000,"0513 - Recreation, sports and fitness program and service directors"
245,2000,0621 - Retail and wholesale trade managers
120,2000,0631 - Restaurant and food service managers
80,2000,0632 - Accommodation service managers
65,2000,"0651 - Managers in customer and personal services, n.e.c."
25,2000,0711 - Construction managers
10,2000,0712 - Home building and renovation managers
65,2000,0714 - Facility operation and maintenance managers
30,2000,0731 - Managers in transportation
10,2000,0811 - Managers in natural resources production and fishing
365,2000,0821 - Managers in agriculture
20,2000,0822 - Managers in horticulture
75,2000,0911 - Manufacturing managers
--,2000,0912 - Utilities managers
1890,2000,1111 - Financial auditors and accountants
1065,2000,1112 - Financial and investment analysts
45,2000,"1113 - Securities agents, investment dealers and brokers"
110,2000,1114 - Other financial officers
75,2000,1121 - Human resources professionals
1340,2000,1122 - Professional occupations in business management consulting
155,2000,"1123 - Professional occupations in advertising, marketing and public relations"
35,2000,"1211 - Supervisors, general office and administrative support workers"
20,2000,"1212 - Supervisors, finance and insurance office workers"
--,2000,"1213 - Supervisors, library, correspondence and related information workers"
--,2000,"1214 - Supervisors, mail and message distribution occupations"
10,2000,"1215 - Supervisors, supply chain, tracking and scheduling co-ordination occupations"
360,2000,1221 - Administrative officers
90,2000,1222 - Executive assistants
360,2000,1223 - Human resources and recruitment officers
15,2000,1224 - Property administrators
420,2000,1225 - Purchasing agents and officers
10,2000,1226 - Conference and event planners
--,2000,1227 - Court officers and justices of the peace
10,2000,"1228 - Employment insurance, immigration, border services and revenue officers"
1430,2000,1241 - Administrative assistants
45,2000,1242 - Legal administrative assistants
70,2000,1243 - Medical administrative assistants
15,2000,"1251 - Court reporters, medical transcriptionists and related occupations"
10,2000,1252 - Health information management occupations
265,2000,1311 - Accounting technicians and bookkeepers
20,2000,1312 - Insurance adjusters and claims examiners
35,2000,1313 - Insurance underwriters
15,2000,"1314 - Assessors, valuators and appraisers"
10,2000,"1315 - Customs, ship and other brokers"
340,2000,1411 - General office support workers
100,2000,1414 - Receptionists
20,2000,1415 - Personnel clerks
--,2000,1416 - Court clerks
40,2000,1422 - Data entry clerks
20,2000,1423 - Desktop publishing operators and related occupations
185,2000,1431 - Accounting and related clerks
5,2000,1432 - Payroll clerks
160,2000,"1434 - Banking, insurance and other financial clerks"
10,2000,1435 - Collectors
--,2000,1451 - Library assistants and clerks
25,2000,"1452 - Correspondence, publication and regulatory clerks"
--,2000,1454 - Survey interviewers and statistical clerks
10,2000,"1511 - Mail, postal and related workers"
10,2000,1512 - Letter carriers
15,2000,"1513 - Couriers, messengers and door-to-door distributors"
40,2000,1521 - Shippers and receivers
40,2000,1522 - Storekeepers and partspersons
35,2000,1523 - Production logistics co-ordinators
15,2000,1524 - Purchasing and inventory control workers
10,2000,1525 - Dispatchers
--,2000,1526 - Transportation route and crew schedulers
290,2000,2111 - Physicists and astronomers
1020,2000,2112 - Chemists
325,2000,2113 - Geoscientists and oceanographers
35,2000,2114 - Meteorologists and climatologists
110,2000,2115 - Other professional occupations in physical sciences
1070,2000,2121 - Biologists and related scientists
80,2000,2122 - Forestry professionals
355,2000,"2123 - Agricultural representatives, consultants and specialists"
2660,2000,2131 - Civil engineers
3690,2000,2132 - Mechanical engineers
4050,2000,2133 - Electrical and electronics engineers
1050,2000,2134 - Chemical engineers
640,2000,2141 - Industrial and manufacturing engineers
505,2000,2142 - Metallurgical and materials engineers
135,2000,2143 - Mining engineers
130,2000,2144 - Geological engineers
230,2000,2145 - Petroleum engineers
