persons_count,landing_year,preferred_language_eng_desc
9915,2000,Bilingual
107845,2000,English
10365,2000,French
99325,2000,None
13040,2001,Bilingual
114890,2001,English
11330,2001,French
111375,2001,None
13720,2002,Bilingual
99490,2002,English
10635,2002,French
105205,2002,None
16245,2003,Bilingual
96795,2003,English
9970,2003,French
98335,2003,None
22610,2004,Bilingual
114705,2004,English
11305,2004,French
87205,2004,None
23010,2005,Bilingual
133040,2005,English
12065,2005,French
94125,2005,None
22655,2006,Bilingual
133125,2006,English
12560,2006,French
83295,2006,None
24105,2007,Bilingual
127210,2007,English
12820,2007,French
72615,2007,None
24625,2008,Bilingual
140045,2008,English
12695,2008,French
69880,2008,None
27930,2009,Bilingual
142900,2009,English
13695,2009,French
67640,2009,None
28950,2010,Bilingual
160345,2010,English
16840,2010,French
74555,2010,None
25970,2011,Bilingual
144535,2011,English
16395,2011,French
61805,2011,None
25770,2012,Bilingual
144480,2012,English
16640,2012,French
70865,2012,None
--,2012,Not stated
22135,2013,Bilingual
135290,2013,English
15195,2013,French
86405,2013,None
22615,2014,Bilingual
152475,2014,English
13710,2014,French
71495,2014,None
--,2014,Not stated
18920,2015,Bilingual
174015,2015,English
14830,2015,French
63530,2015,None
525,2015,Not stated
4955,2016,Bilingual
187565,2016,English
24720,2016,French
71250,2016,None
7850,2016,Not stated
