persons_count,landing_year,province_long_eng_desc
14360,2000,Alberta
37425,2000,British Columbia
4635,2000,Manitoba
760,2000,New Brunswick
415,2000,Newfoundland and Labrador
85,2000,Northwest Territories
10,2000,Not stated
1610,2000,Nova Scotia
15,2000,Nunavut
133510,2000,Ontario
190,2000,Prince Edward Island
32495,2000,Quebec
1880,2000,Saskatchewan
60,2000,Yukon
16405,2001,Alberta
38485,2001,British Columbia
4590,2001,Manitoba
800,2001,New Brunswick
390,2001,Newfoundland and Labrador
95,2001,Northwest Territories
25,2001,Not stated
1695,2001,Nova Scotia
15,2001,Nunavut
148635,2001,Ontario
135,2001,Prince Edward Island
37600,2001,Quebec
1705,2001,Saskatchewan
65,2001,Yukon
14785,2002,Alberta
34055,2002,British Columbia
4615,2002,Manitoba
705,2002,New Brunswick
405,2002,Newfoundland and Labrador
60,2002,Northwest Territories
1420,2002,Nova Scotia
10,2002,Nunavut
133585,2002,Ontario
110,2002,Prince Edward Island
37585,2002,Quebec
1665,2002,Saskatchewan
50,2002,Yukon
15840,2003,Alberta
35230,2003,British Columbia
6505,2003,Manitoba
665,2003,New Brunswick
360,2003,Newfoundland and Labrador
95,2003,Northwest Territories
15,2003,Not stated
1475,2003,Nova Scotia
10,2003,Nunavut
119720,2003,Ontario
155,2003,Prince Edward Island
39555,2003,Quebec
1670,2003,Saskatchewan
60,2003,Yukon
16475,2004,Alberta
37025,2004,British Columbia
7425,2004,Manitoba
795,2004,New Brunswick
580,2004,Newfoundland and Labrador
90,2004,Northwest Territories
1770,2004,Nova Scotia
10,2004,Nunavut
125090,2004,Ontario
310,2004,Prince Edward Island
44245,2004,Quebec
1945,2004,Saskatchewan
60,2004,Yukon
19405,2005,Alberta
44770,2005,British Columbia
8095,2005,Manitoba
1090,2005,New Brunswick
495,2005,Newfoundland and Labrador
85,2005,Northwest Territories
--,2005,Not stated
1930,2005,Nova Scotia
10,2005,Nunavut
140525,2005,Ontario
330,2005,Prince Edward Island
43315,2005,Quebec
2120,2005,Saskatchewan
65,2005,Yukon
20715,2006,Alberta
42085,2006,British Columbia
10050,2006,Manitoba
1645,2006,New Brunswick
510,2006,Newfoundland and Labrador
100,2006,Northwest Territories
15,2006,Not stated
2585,2006,Nova Scotia
10,2006,Nunavut
125890,2006,Ontario
565,2006,Prince Edward Island
44680,2006,Quebec
2725,2006,Saskatchewan
65,2006,Yukon
20860,2007,Alberta
38960,2007,British Columbia
10955,2007,Manitoba
1645,2007,New Brunswick
545,2007,Newfoundland and Labrador
90,2007,Northwest Territories
50,2007,Not stated
2525,2007,Nova Scotia
20,2007,Nunavut
111315,2007,Ontario
990,2007,Prince Edward Island
45200,2007,Quebec
3515,2007,Saskatchewan
85,2007,Yukon
24200,2008,Alberta
43990,2008,British Columbia
11215,2008,Manitoba
1855,2008,New Brunswick
625,2008,Newfoundland and Labrador
125,2008,Northwest Territories
50,2008,Not stated
2650,2008,Nova Scotia
50,2008,Nunavut
110875,2008,Ontario
1455,2008,Prince Edward Island
45195,2008,Quebec
4835,2008,Saskatchewan
110,2008,Yukon
27015,2009,Alberta
41440,2009,British Columbia
13520,2009,Manitoba
1915,2009,New Brunswick
