persons_count,landing_year,skill_level1_eng_desc,skill_level2_eng_desc
5610,2000,Higher-skilled,0 - Managerial
42340,2000,Higher-skilled,A - Professionals
16715,2000,Higher-skilled,B - Skilled and Technical
48255,2000,Intending to work,New Workers (15 Years of Age or Older)
6620,2000,Lower-skilled,C - Intermediate and Clerical
1120,2000,Lower-skilled,D - Elemental and Labourers
29505,2000,Not intending to work,Others Non-Workers (15 Years of Age or Older)
6545,2000,Not intending to work,Retired (15 Years of Age or Older)
19545,2000,Not intending to work,Students (15 Years of Age or Older)
5,2000,Not stated,Not stated
6505,2001,Higher-skilled,0 - Managerial
46700,2001,Higher-skilled,A - Professionals
18250,2001,Higher-skilled,B - Skilled and Technical
51855,2001,Intending to work,New Workers (15 Years of Age or Older)
6930,2001,Lower-skilled,C - Intermediate and Clerical
1150,2001,Lower-skilled,D - Elemental and Labourers
32850,2001,Not intending to work,Others Non-Workers (15 Years of Age or Older)
7205,2001,Not intending to work,Retired (15 Years of Age or Older)
21865,2001,Not intending to work,Students (15 Years of Age or Older)
15,2001,Not stated,Not stated
5345,2002,Higher-skilled,0 - Managerial
41785,2002,Higher-skilled,A - Professionals
16530,2002,Higher-skilled,B - Skilled and Technical
47525,2002,Intending to work,New Workers (15 Years of Age or Older)
5860,2002,Lower-skilled,C - Intermediate and Clerical
905,2002,Lower-skilled,D - Elemental and Labourers
31945,2002,Not intending to work,Others Non-Workers (15 Years of Age or Older)
7880,2002,Not intending to work,Retired (15 Years of Age or Older)
20275,2002,Not intending to work,Students (15 Years of Age or Older)
40,2002,Not stated,Not stated
4690,2003,Higher-skilled,0 - Managerial
37810,2003,Higher-skilled,A - Professionals
13345,2003,Higher-skilled,B - Skilled and Technical
54655,2003,Intending to work,New Workers (15 Years of Age or Older)
5680,2003,Lower-skilled,C - Intermediate and Clerical
770,2003,Lower-skilled,D - Elemental and Labourers
29925,2003,Not intending to work,Others Non-Workers (15 Years of Age or Older)
7575,2003,Not intending to work,Retired (15 Years of Age or Older)
19800,2003,Not intending to work,Students (15 Years of Age or Older)
435,2003,Not stated,Not stated
6470,2004,Higher-skilled,0 - Managerial
35935,2004,Higher-skilled,A - Professionals
13675,2004,Higher-skilled,B - Skilled and Technical
61460,2004,Intending to work,New Workers (15 Years of Age or Older)
5750,2004,Lower-skilled,C - Intermediate and Clerical
650,2004,Lower-skilled,D - Elemental and Labourers
31800,2004,Not intending to work,Others Non-Workers (15 Years of Age or Older)
6050,2004,Not intending to work,Retired (15 Years of Age or Older)
22550,2004,Not intending to work,Students (15 Years of Age or Older)
540,2004,Not stated,Not stated
9130,2005,Higher-skilled,0 - Managerial
35115,2005,Higher-skilled,A - Professionals
